"ServerName","FilePath","FileSize"
"ENHC-SRV-001","Q:\Windows\System32\Config\System","20.25"
"GDA-HDC-001","Q:\Windows\System32\Config\Software","40.75"
"GDA-HDC-001","Q:\Windows\System32\Config\System","10.25"
"GDA-FS-001","Q:\Windows\System32\Config\Software","59.75"
"GDA-FS-001","Q:\Windows\System32\Config\System","13.25"
"GDA-RDS-001","Q:\Windows\System32\Config\Software","115.5"
"GDA-RDS-001","Q:\Windows\System32\Config\System","26"
"HSFG-FS-001","Q:\Windows\System32\Config\Software","105.5"
"HSFG-FS-001","Q:\Windows\System32\Config\System","13.5"
"HSFG-HDC-001","Q:\Windows\System32\Config\Software","44.75"
"HSFG-HDC-001","Q:\Windows\System32\Config\System","10.5"
"HSFG-SQL-001","Q:\Windows\System32\Config\Software","60.75"
"HSFG-SQL-001","Q:\Windows\System32\Config\System","11.25"
"HSFG-TSP-001","Q:\Windows\System32\Config\Software","61.5"
"HSFG-TSP-001","Q:\Windows\System32\Config\System","10"
"MW-HDC-001","Q:\Windows\System32\Config\Software","46.25"
"MW-HDC-001","Q:\Windows\System32\Config\System","11.5"
"MW-HDC-002","Q:\Windows\System32\Config\Software","45.75"
"MW-HDC-002","Q:\Windows\System32\Config\System","10.75"
"NAIL-FS-001","Q:\Windows\System32\Config\Software","76"
"NAIL-FS-001","Q:\Windows\System32\Config\System","16.25"
"NAIL-HDC-001","Q:\Windows\System32\Config\Software","75"
"NAIL-HDC-001","Q:\Windows\System32\Config\System","13.75"
"ODC-APP-001","Q:\Windows\System32\Config\Software","177"
"ODC-APP-001","Q:\Windows\System32\Config\System","16"
"ODC-SRV-001","Q:\Windows\System32\Config\Software","175.75"
"ODC-SRV-001","Q:\Windows\System32\Config\System","27.25"
"ODC-SQL-002","Q:\Windows\System32\Config\Software","137"
"ODC-SQL-002","Q:\Windows\System32\Config\System","22"
"PAL-APP-001","Q:\Windows\System32\Config\Software","41"
"PAL-APP-001","Q:\Windows\System32\Config\System","12.5"
"PAL-FS-001","Q:\Windows\System32\Config\Software","43.75"
"PAL-FS-001","Q:\Windows\System32\Config\System","14"
"PAL-HDC-001","Q:\Windows\System32\Config\Software","55.25"
"PAL-HDC-001","Q:\Windows\System32\Config\System","10.5"
"PAL-RDS-001","Q:\Windows\System32\Config\Software","455.75"
"PAL-RDS-001","Q:\Windows\System32\Config\System","12"
"PTA-APP-001","Q:\Windows\System32\Config\Software","117.25"
"PTA-APP-001","Q:\Windows\System32\Config\System","24"
"PTA-APP-002","Q:\Windows\System32\Config\Software","90.25"
"PTA-APP-002","Q:\Windows\System32\Config\System","15.25"
"PTA-FS-001","Q:\Windows\System32\Config\Software","85.25"
"PTA-FS-001","Q:\Windows\System32\Config\System","15"
