"FileData","FilePath"
"%  O0383(2.313 XO TEST TOOL SPRG. HOUS.) (P/N 10OE2313XO-12)","F:\Data\Scripts\Powershell\BRIO\Files\O0383"
"%  O0384(2.313 XO TEST TOOL) (SPRING HOUSING) ","F:\Data\Scripts\Powershell\BRIO\Files\O0384"
"%  O0385(2.750 TEST TOOL DOG HOUSING)  (P/N 10OE2750XO-14)","F:\Data\Scripts\Powershell\BRIO\Files\O0385"
"%  O0386(2.750 TEST TOOL DOG HOUSING)  (P/N 10OE2750XO-14)","F:\Data\Scripts\Powershell\BRIO\Files\O0386"
"%  O0387(3.500 WIRE GRAB 2 PRONG)  (AND 3 PRONG)","F:\Data\Scripts\Powershell\BRIO\Files\O0387"
"%  O0388(3.000 GS PULLING TOOL CORE)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0388"
"%  O0389(2.813 TEST TOOL SPRG.HOUSING)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0389"
"%  O0390(2.813 TEST TOOL PACK.MANDREL) (10OE2813XO-11)","F:\Data\Scripts\Powershell\BRIO\Files\O0390"
"%  O0391(2.813 TEST TOOL PACK.MANDREL) (10OE2813XO-11)","F:\Data\Scripts\Powershell\BRIO\Files\O0391"
"%  O0392(2.750 B SHIFTING TOOL)  (SELECTIVE KEYS) ","F:\Data\Scripts\Powershell\BRIO\Files\O0392"
"%  O0393(2.750 B SHIFTING TOOL)  (SELECTIVE KEYS) ","F:\Data\Scripts\Powershell\BRIO\Files\O0393"
"%  O0394(2.750 XO TESTING TOOL DOG)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0394"
"%  O0395(2.750 XO TESTING TOOL DOG)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0395"
"%  O0396(2.813 XO TESTING TOOL DOG)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0396"
"%  O0397(2.813 XO TESTING TOOL DOG)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0397"
"%  O0398(2.313 XO TESTING TOOL KEY)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0398"
"%  O0399(2.313 XO TESTING TOOL KEY)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0399"
"%  O0400(1.875 X-LOCK PULLING NECK)  (11OE1875X-01) ","F:\Data\Scripts\Powershell\BRIO\Files\O0400"
"%  O0401(1.875 X-LOCK PULLING NECK)  (P/N 11OE1875X-01) ","F:\Data\Scripts\Powershell\BRIO\Files\O0401"
"%  O0402(1.875 X LOCK PACKING MANDREL) (P/N 11OE1875X-05) ","F:\Data\Scripts\Powershell\BRIO\Files\O0402"
"%  O0403(1.875 X LOCK PACKING MANDREL) (P/N 11OE1875X-05) ","F:\Data\Scripts\Powershell\BRIO\Files\O0403"
"%  O0404(1.875 X-LOCK PACKING MANDREL) (P/N 11OE1875X-05) ","F:\Data\Scripts\Powershell\BRIO\Files\O0404"
"%  O0405(1.875/2.313 DIFFUSER SCR.CAP) (P/N 12BT1875DSR01)","F:\Data\Scripts\Powershell\BRIO\Files\O0405"
"%  O0406(1.875/2.313 DIFFUSER SCRN CAP)  (P/N 12BT1875DSR01)","F:\Data\Scripts\Powershell\BRIO\Files\O0406"
"%  O0407(2.313 PX HOUSING) (P/N 12OE2313PX-30)","F:\Data\Scripts\Powershell\BRIO\Files\O0407"
"%  O0408(2.313 PX HOUSING) (P/N 12OE2313PX-30)","F:\Data\Scripts\Powershell\BRIO\Files\O0408"
"%  O0409(1.875 PX HOUSING) (P/N 12OE1875PX-30)","F:\Data\Scripts\Powershell\BRIO\Files\O0409"
"%  O0410(1.875 PX HOUSING) (P/N 12OE1875PX-30)","F:\Data\Scripts\Powershell\BRIO\Files\O0410"
"%  O0411(1.875 XO TEST TOOL CAGE)  (P/N 10OE1875XO-03)","F:\Data\Scripts\Powershell\BRIO\Files\O0411"
"%  O0412(1.875 XO TEST TOOL CAGE)  (P/N 10OE1875XO-03)","F:\Data\Scripts\Powershell\BRIO\Files\O0412"
"%  O0413(CROSSOVER 5/8 S.R.PIN)  (TO 3/4 S.R.BOX) ","F:\Data\Scripts\Powershell\BRIO\Files\O0413"
"%  O0414(CROSSOVER 5/8 S.R.PIN)  (TO 3/4 S.R.BOX) ","F:\Data\Scripts\Powershell\BRIO\Files\O0414"
"%  O0415(1.500 TUNGSTEN SINKER BAR)  (1.250 SLUGS GE STYLE TOP SUB) ","F:\Data\Scripts\Powershell\BRIO\Files\O0415"
"%  O0416(1.500 TUNGSTEN SINKER BAR)  (1.250 SLUGS GE STYLE TOP SUB) ","F:\Data\Scripts\Powershell\BRIO\Files\O0416"
"%  O0417(2.313 XA/O INNER SLEEVE)  (P/N 15OE2313XA-02)","F:\Data\Scripts\Powershell\BRIO\Files\O0417"
"%  O0418(1.5 TUNGSTEN SINKER BAR)  (1.25 SLUGS GE SYLE BOTTOM SUB)","F:\Data\Scripts\Powershell\BRIO\Files\O0418"
"%  O0419(1.500 TUNGSTEN SINKER BAR)  (1.25 SLUGS GE SYLE BOTTOM SUB)","F:\Data\Scripts\Powershell\BRIO\Files\O0419"
"%  O0420(2.875 J PULLING TOOL SKIRT) (P/N 04CC2875JD-05)","F:\Data\Scripts\Powershell\BRIO\Files\O0420"
"%  O0421(2.875 J PULLING TOOL SKIRT) (P/N 04CC2875JD-05)","F:\Data\Scripts\Powershell\BRIO\Files\O0421"
"%  O0422(2.875 J PULLING TOOL SKIRT)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0422"
"%  O0423(2.188 R LOCK WINDOW HOUSING)  (P/N 11OE2188R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0423"
"%  O0424(2.188 R LOCK WINDOW HOUSING)  (P/N 11OE2188R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0424"
"%  O0425(1.875 X PACKING MANDREL)  (FULL BORE,NO HOLES,AND NO GO) ","F:\Data\Scripts\Powershell\BRIO\Files\O0425"
"%  O0426(2.750 X-LOCK INTERFERENCE)  (MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0426"
"%  O0427(3.437 B SHIFTING TOOL)  (SELECTIVE KEYS) ","F:\Data\Scripts\Powershell\BRIO\Files\O0427"
"%  O0009(2.813 NE-XA INNER SLEEVE)  ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0009"
"%  O0050(3.0L.P BOX)  ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0050"
"%  O0051(3.0L.P PIN)  ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0051"
"%  O0057(2.0 LINE PIPE PIN)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0057"
"%  O0070(2 7/8 EUE PIN)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0070"
"%  O0078(2 3/8 EUE BOX)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0078"
"%  O0200(DRILLING)  ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0200"
"%  O0201(TURN OD WITH T.S.)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0201"
"%  O0202(FACE AND C DRILL)  ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0202"
"%  O0204(SPADE DRILL)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0204"
"%  O0205(SPADE DRILL)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0205"
"%  O0206(SPADE DRILL)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0206"
"%  O0300(2.313 X-LOCK WINDOW HOUSING)  (P/N 11OE2313X-03) ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0300"
"%  O0301(P/N 11OE2313X-01) (2.313 X-LOCK PULLING NECK)","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0301"
"%  O0302(P/N 11OE2313X-01) (2.313 X-LOCK PULLING NECK)","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0302"
"%  O0303(2.0 R LOCK WINDOW HOUSING)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0303"
"%  O0304(2.0 R LOCK WINDOW HOUSING)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0304"
"%  O0305(2.0 PR HOUSING)  ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0305"
"%  O0306(2.0 PR HOUSING)  ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0306"
"%  O0307(2.313 R LOCK WINDOW HOUS.)  (P/N 11OE2313R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0307"
"%  O0308(2.313 R LOCK WINDOW HOUS.)  (P/N 11OE2313R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0308"
"%  O0309(2.313 R LOCK PACK.MANDREL)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0309"
"%  O0310(2.75 NE-XA INNER SLEEVE)   ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0310"
"%  O0311(2.75 NE-XA INNER SLEEVE)  (MULTI POSITION) ","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0311"
"%  O0312(2.313 X-FLOAT VALVE SEAL SUB) (12OE2313WFV01 REV A)","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0312"
"%  O0313(2.313 X-FLOAT VALVE SEAL SUB) (12OE2313WFV01-REV A)","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0313"
"%  O0314(1.75 HYDROSTATIC BAILER)  (P/N 07BT1750HB-22)","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0314"
"%  O0315(1.750 HYDROSTATIC BAILER) (P/N-07BT1750HB-22)","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0315"
"%  O0316(1.875 CHOKE BEAN SCREEN)  (P/N 12OE1875CBS01 REV.1)","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0316"
"%  O0317(1.875 CHOKE BEAN SCREEN)  (12OE1875CBS01-REV.1)","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0317"
"%  O0318(1.500 ROPE SOCKET BODY) (P/N-02BT1500WRS01)","F:\Data\Scripts\Powershell\BRIO\Files\Kia 2021\O0318"
