"ServerName","DriveName","DiskSize","FreeSpace","VMName","State","SnapshotName","SnapshotTYpe"
"ACE-HVS-002",,,,,,"Rolling Checkpoint - c6d3494a-8f56-4954-9ce9-c4e7f377e7ea","Standard"
"ACE-HVS-002",,,,,,"Rolling Checkpoint - 697390a6-ce66-4b03-91e4-50c162f9a410","Standard"
"ACP-HVS-001","C:","135.78","124.2",,,,
"ACP-HVS-001","D:","2048","1623.98",,,,
,,,,"ACP-FS-002","Running",,
"ACP-HVS-001",,,,,,"ACP-FS-002 - (2021-11-02 - 2:03:34 PM)","Standard"
"ACP-HVS-001",,,,,,"Rolling Checkpoint - c692f3b2-ca59-4bc5-a39a-8111c02588b8","Standard"
"ACP-HVS-001",,,,,,"Rolling Checkpoint - 306a4ff5-d24a-47d1-967e-dc45720f01d1","Standard"
"ACP-HVS-001",,,,,,"Rolling Checkpoint - 2ff8f254-2499-49c1-a6eb-b73339f19232","Standard"
"ACP-HVS-002","C:","2234.4","2188.33",,,,
"ACP-HVS-002","D:","6704.98","4577.9",,,,
,,,,"ACP-APP-002","Running",,
"ACP-HVS-002",,,,,,"Rolling Checkpoint - e5614419-bcec-4690-a921-29df89434f22","Standard"
"ACP-HVS-002",,,,,,"Rolling Checkpoint - a103d4dc-9232-4036-8b2b-99d3ab154a5b","Standard"
"ACP-HVS-002",,,,,,"Rolling Checkpoint - 834e1895-762c-42aa-9fd4-6ff0265e4fbe","Standard"
,,,,"ACP-EXCH-002","Running",,
,,,,"ACP-FS-001","Running",,
"ACP-HVS-002",,,,,,"Rolling Checkpoint - b74f7cb9-906a-4aba-b6ca-4d9af0aec510","Standard"
"ACP-HVS-002",,,,,,"Rolling Checkpoint - a09d32e5-6017-447c-87b9-4274bfe44683","Standard"
"ACP-HVS-002",,,,,,"Rolling Checkpoint - 6e7666e4-c71a-4a5c-8256-f658916c034c","Standard"
,,,,"ACP-FS-003","Off",,
,,,,"ACP-HDC-003","Running",,
"ACP-HVS-002",,,,,,"Rolling Checkpoint - 001618cf-87e4-4b55-b7f9-e511ea8b3a62","Standard"
"ACP-HVS-002",,,,,,"Rolling Checkpoint - 9ee67b1f-9256-4368-8136-a7f0a87f28bc","Standard"
"ACP-HVS-002",,,,,,"Rolling Checkpoint - 2178cf66-2f3c-45ea-b9eb-d35ab281f5a0","Standard"
,,,,"ACP-PRXY-001","Running",,
"ACTC-HVS-001","","0","0",,,,
"ACTC-HVS-001","","0","0",,,,
"ARCC-HVS-002","","0","0",,,,
"ARCC-HVS-002","","0","0",,,,
"ARCC-HVS-003","","0","0",,,,
"ARCC-HVS-003","","0","0",,,,
"ARCC-HVS-004","","0","0",,,,
"ARCC-HVS-004","","0","0",,,,
"ARCC-HVS-006","C:","135.78","86.4",,,,
"ARCC-HVS-006","D:","2233.37","1167.17",,,,
,,,,"ACAW-DEV-001A","Running",,
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - cd403445-61d9-4213-a7b5-0b99d8209e83","Standard"
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - 5d7972e0-645b-4035-aa83-cfbd84b69026","Standard"
,,,,"ACAW-SRV-001","Running",,
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - f46f0f98-e115-44c1-a2b4-e1c638e6801d","Standard"
,,,,"ACAWT-HDC-002","Running",,
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - dc1e8456-28a3-4498-b83f-fbbdc6b34ea1","Standard"
,,,,"ACU-HDC-001","Running",,
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - 7b959e9f-e8cd-43e6-8f64-c5161c3290ab","Standard"
,,,,"ARCC-APP-001-X","Running",,
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - fbd3f4e0-afc1-4209-939c-f1f3824979b2","Standard"
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - 3c949b4a-3a7c-46aa-a72a-bfcc94c1cae6","Standard"
,,,,"ARCC-HDC-004","Running",,
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - c8a00b33-107c-4a21-9118-c47a13f01286","Standard"
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - 371f1dbd-465f-4f54-b024-7804755db125","Standard"
,,,,"ARCC-PRXY-001","Running",,
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - c440ef7e-6d13-474b-96b0-5eb3f62b3cef","Standard"
,,,,"ARCC-SQL-001-X","Running",,
"ARCC-HVS-006",,,,,,"Rolling Checkpoint - c6be1178-127d-4391-8104-94418d3b8bf7","Standard"
,,,,"DS292","Off",,
,,,,"MW-HDC-001","Off",,
"ARCC-HVS-007","C:","1116.7","1076.08",,,,
"ARCC-HVS-007","D:","6704.87","632.83",,,,
,,,,"ARCC-DC-001","Running",,
,,,,"ARCC-EXCH-001-X","Running",,
,,,,"ARCC-FS-002","Running",,
"ARCC-HVS-007",,,,,,"Rolling Checkpoint - e9e1955a-0ee3-4ce7-a549-c2b8a2af19f6","Standard"
"ARCC-HVS-007",,,,,,"Rolling Checkpoint - 7ca9c6b9-8dea-4a3a-b2da-ecb2423f0308","Standard"
,,,,"ARCC-RDG-001","Running",,
,,,,"ARCC-TSE-003","Running",,
"ARCC-HVS-007",,,,,,"Rolling Checkpoint - 09e55dbc-d188-4c5a-a8df-e739f9eaed98","Standard"
,,,,"ARCC-TSE-004","Running",,
"ARCC-HVS-007",,,,,,"Rolling Checkpoint - 251d4bdc-2f9c-4800-8460-23da541d57e8","Standard"
"ARCC-HVS-008","","0","0",,,,
"ARCC-HVS-008","","0","0",,,,
"BLUS-HVS-001","C:","278.53","92.58",,,,
"BLUS-HVS-001","D:","3724.87","1797.43",,,,
,,,,"BLUS-RDS-001-MOVED","Off",,
,,,,"BLUS-SQL-002","Off",,
,,,,"BLUS-SRV-001-MOVED","Off",,
"BLUS-HVS-001",,,,,,"Rolling Checkpoint - 5b562ca4-0121-4157-8afe-d2a426733c31","Standard"
"BLUS-HVS-001",,,,,,"Rolling Checkpoint - e536f030-d312-4c03-8c9d-a9560f641671","Standard"
"BLUS-HVS-001",,,,,,"Rolling Checkpoint - 41023c48-d885-43ea-98a2-9d396d1f5fad","Standard"
,,,,"DEMOPOS","Off",,
"BLUS-HVS-002","C:","278.53","267.16",,,,
"BLUS-HVS-002","D:","1861.87","749.49",,,,
,,,,"BLUS-APP-001-MOVED","Off",,
,,,,"BLUS-SP-001","Off",,
,,,,"BLUS-SPT-001","Off",,
,,,,"BLUS-SQL-001-MOVED","Off",,
,,,,"BLUS-SQL-002-MOVED","Off",,
"BLUS-HVS-003","C:","1116.62","1090.6",,,,
"BLUS-HVS-003","D:","6703.48","3776.36",,,,
,,,,"BLUS-APP-001","Running",,
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - 75719d9a-b644-44b2-ba50-c953ba22c99f","Standard"
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - 03d70760-ce2b-4f9c-82a7-42afdbacb3cf","Standard"
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - f5f5af3b-8372-406a-b520-a787651397b6","Standard"
,,,,"BLUS-RDS-001","Running",,
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - 6e556080-923b-49c9-a727-5ad2c77f5412","Standard"
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - 523bedd7-1996-4735-9d8b-47ec893a5fcb","Standard"
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - 52e5491e-fe81-4697-9e65-21663c232d51","Standard"
,,,,"BLUS-SP-001","Off",,
,,,,"BLUS-SPT-001","Off",,
,,,,"BLUS-SQL-001","Running",,
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - 1407d50c-ffe2-4103-8e45-95dd9c3948db","Standard"
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - 9ed7f988-0dae-4c42-8ab2-0fcb2f4ae01f","Standard"
,,,,"BLUS-SQL-002","Running",,
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - a05df662-603f-4427-a68f-d29e20cf57af","Standard"
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - 56452528-db79-4f26-80f7-aeeca99c54b9","Standard"
,,,,"BLUS-SRV-001","Running",,
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - a6015413-e4a4-4bae-b840-59b4474c8645","Standard"
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - b7a08b25-bb5d-4adf-9704-77a18f9dc410","Standard"
"BLUS-HVS-003",,,,,,"Rolling Checkpoint - c0cde8f6-a21c-4585-956c-2969d96ba360","Standard"
,,,,"DEMOPOS","Off",,
"BRIO-HVS-001","","0","0",,,,
"BRIO-HVS-001","","0","0",,,,
"BRIO-HVS-002","C:","1116.65","1105.05",,,,
"BRIO-HVS-002","D:","2234.48","1246.01",,,,
,,,,"BRIO-APP-001","Running",,
"BRIO-HVS-002",,,,,,"Rolling Checkpoint - 561c01fb-a7f0-4aa0-8ee0-323a48798068","Standard"
"BRIO-HVS-002",,,,,,"Rolling Checkpoint - 5ad0bac8-6a83-4551-bae2-b93565f9b6fe","Standard"
,,,,"BRIO-MEM-001","Running",,
"BRIO-HVS-002",,,,,,"Rolling Checkpoint - 520e96fd-ef8e-4f08-af06-e2702147c6f4","Standard"
"BRIO-HVS-002",,,,,,"Rolling Checkpoint - 52f3f4ac-f2aa-4c5e-a57f-d25b2d2150e6","Standard"
"BRIO-HVS-002",,,,,,"Rolling Checkpoint - ff92a52d-d9da-4c4c-94fa-98b53bf2b672","Standard"
,,,,"BRIO-SRV-001","Running",,
"BRIO-HVS-002",,,,,,"Rolling Checkpoint - cc61cb14-d139-464d-bbae-252edd61893e","Standard"
"BRIO-HVS-002",,,,,,"Rolling Checkpoint - b5471a51-2a8a-4d90-aa64-46b4e07e06e8","Standard"
"BRIO-HVS-002",,,,,,"Rolling Checkpoint - c71d2c04-8b8e-4720-876a-e3c5a9f8d8cf","Standard"
"ENHC-HVS-001","C:","464.91","437.97",,,,
"ENHC-HVS-001","D:","930.37","595.55",,,,
,,,,"ENHC-FS-001","Running",,
,,,,"ENHC-HDC-001","Running",,
"ENHC-HVS-001",,,,,,"Rolling Checkpoint - 2a7ec879-af08-4683-b83c-7c575e2bc58f","Standard"
,,,,"ENHC-SRV-001","Running",,
"ENHC-HVS-001",,,,,,"Rolling Checkpoint - 6a45dc0b-aec2-403f-9279-8903993a2a8e","Standard"
"ENHC-HVS-001",,,,,,"Rolling Checkpoint - 692d8349-227a-4592-a046-478a8fd6b083","Standard"
,,,,"ENHC-TSE-001","Running",,
